	frame	subF	1stSym	symbol#	cellId	rnti	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	54	4	7	5	2	1	7257	24	0	17.6395	 	0	4.98769e-07
UL	54	5	13	1	1	1	1640	26	0	21.7343 	0	3.02081e-10
DL	54	5	14	5	2	1	7257	24	0	12.2988	 	1	1
UL	54	6	7	1	1	1	1640	26	0	21.9476 	0	1.50933e-10
DL	54	6	8	5	2	1	7257	24	1	12.2988	 	0	0
DL	54	6	14	115	2	1	56936	20	0	17.7106	 	0	0
DL	54	7	12	5	2	1	7257	24	1	17.7106	 	0	0
DL	54	7	18	103	2	1	44156	20	0	17.6358	 	0	0
DL	54	8	6	65	2	1	28859	24	0	17.6358	 	0	1.97376e-06
UL	54	9	7	1	1	1	1776	28	0	20.8574 	1	0.999993
DL	54	9	8	5	2	1	7257	24	1	8.95547	 	0	0
DL	54	9	14	121	2	1	28181	16	0	8.95547	 	1	1
UL	55	0	7	1	1	1	1718	27	0	21.4155 	0	0.0819689
DL	55	0	8	55	2	1	14336	24	0	11.6436	 	1	1
DL	55	1	7	55	2	1	14336	24	0	17.5846	 	0	0.110455
UL	55	2	7	1	1	1	1718	27	0	20.7369 	0	1.30406e-11
DL	55	2	8	55	2	1	14336	24	0	9.15662	 	1	1
UL	55	3	12	1	1	1	1718	27	0	20.6675 	1	0.41626
DL	55	3	15	128	2	1	13775	14	0	12.5864	 	0	0
UL	55	4	1	1	1	1	1776	28	1	20.6675 	0	0
DL	55	4	8	48	2	1	37174	16	0	12.5864	 	0	0
DL	55	4	56	55	2	1	14336	24	1	15.7598	 	0	0
UL	55	5	7	1	1	1	1718	27	0	20.5672 	0	1.54303e-11
DL	55	5	8	29	2	1	36497	22	0	15.7598	 	0	0
UL	55	6	14	1	1	1	1718	27	0	21.6814 	0	0
DL	55	6	16	40	2	1	24781	14	0	11.1133	 	0	0
DL	55	6	56	55	2	1	14336	24	1	11.1133	 	0	0
DL	55	6	111	7	2	1	4333	14	0	11.1133	 	0	0
DL	55	7	7	25	2	1	21780	18	0	11.1133	 	1	1
UL	55	8	1	1	1	1	1718	27	1	21.0216 	0	0
UL	55	8	8	1	1	1	1640	26	0	20.9792 	0	0
DL	55	8	9	12	2	1	15100	22	0	13.4026	 	1	1
UL	55	9	7	1	1	1	1640	26	0	20.9792 	0	0
DL	55	9	8	6	2	1	7548	22	0	13.2196	 	1	1
DL	56	0	8	139	2	1	42124	16	0	17.5972	 	0	0
UL	56	1	6	1	1	1	1776	28	0	20.1757 	1	1
DL	56	1	7	19	2	1	14711	16	0	17.5972	 	0	0
DL	56	1	26	25	2	1	21780	18	1	17.6759	 	0	0
UL	56	2	7	1	1	1	1776	28	0	19.4003 	1	1
DL	56	2	8	5	2	1	4353	18	0	17.6759	 	0	0
DL	56	2	13	12	2	1	15100	22	1	17.6759	 	0	0
DL	56	2	25	78	2	1	2428	18	0	17.6759	 	0	0
DL	56	3	7	6	2	1	7548	22	1	17.5913	 	0	0
DL	56	3	13	84	2	1	7656	18	0	17.5913	 	0	0
UL	56	4	7	1	1	1	1776	28	0	19.3511 	1	1
DL	56	4	9	58	2	1	7461	22	0	12.3709	 	1	1
UL	56	5	6	1	1	1	1776	28	0	21.5135 	0	6.91081e-11
DL	56	5	7	45	2	1	65349	24	0	17.6272	 	0	1.25629e-05
UL	56	6	6	1	1	1	1776	28	1	21.2562 	0	0
DL	56	6	13	1	2	1	1449	24	0	16.0121	 	0	0.0892262
UL	56	7	7	1	1	1	1776	28	1	21.6461 	0	0
DL	56	7	15	109	2	1	6117	22	0	17.66	 	0	0
DL	56	8	7	52	2	1	45306	18	0	17.66	 	0	0
DL	56	8	59	58	2	1	7461	22	1	17.6957	 	0	0
UL	56	9	7	1	1	1	1776	28	1	19.2581 	0	0
UL	56	9	15	1	1	1	1640	26	0	19.2581 	0	0.00159766
DL	56	9	16	60	2	1	21599	24	0	17.6957	 	0	2.98984e-09
DL	57	0	6	57	2	1	17240	24	0	17.7184	 	0	2.45893e-10
DL	57	1	7	56	2	1	15788	24	0	17.6195	 	0	1.41144e-05
UL	57	2	7	1	1	1	1776	28	0	22.2929 	0	9.32587e-15
DL	57	2	8	50	2	1	7076	24	0	14.0989	 	1	1
UL	57	3	7	1	1	1	1776	28	0	21.6554 	0	5.67739e-11
DL	57	3	8	50	2	1	7076	24	0	12.2431	 	1	1
DL	57	4	8	45	2	1	65349	24	0	17.5906	 	0	0.00444432
UL	57	5	12	1	1	1	1640	26	0	20.6036 	0	8.06147e-07
DL	57	5	13	45	2	1	65349	24	0	12.7136	 	1	1
DL	57	6	51	50	2	1	7076	24	1	17.6042	 	0	0
DL	57	7	51	50	2	1	7076	24	1	17.624	 	0	0
UL	57	8	11	1	1	1	1776	28	0	20.1942 	1	1
DL	57	8	12	45	2	1	65349	24	0	17.624	 	0	1.92285e-05
UL	57	9	7	1	1	1	1776	28	0	22.0793 	1	0.9959
DL	57	9	9	37	2	1	39401	20	0	12.9509	 	1	1
DL	57	9	46	45	2	1	65349	24	1	12.9509	 	0	0
DL	57	9	91	4	2	1	4255	20	0	12.9509	 	1	1
DL	58	0	7	5	2	1	7257	24	0	17.6184	 	0	7.45267e-06
UL	58	1	7	1	1	1	1640	26	0	20.1727 	0	4.74961e-06
DL	58	1	8	79	2	1	49193	24	0	12.5167	 	1	1
UL	58	2	12	1	1	1	1640	26	0	21.4807 	0	7.50815e-10
DL	58	2	13	79	2	1	49193	24	0	12.9177	 	1	1
UL	58	3	11	1	1	1	1776	28	1	19.8532 	0	0
DL	58	3	18	4	2	1	4255	20	1	17.5865	 	0	0
DL	58	3	23	15	2	1	13065	18	0	17.5865	 	0	0
DL	58	3	38	37	2	1	39401	20	1	17.5865	 	0	0
DL	58	3	75	43	2	1	37466	18	0	17.5865	 	0	0
UL	58	4	1	1	1	1	1776	28	1	19.8532 	0	0
DL	58	4	8	8	2	1	11613	24	0	17.5865	 	0	0.00439195
UL	58	5	8	1	1	1	1718	27	0	19.9319 	1	0.827657
DL	58	5	9	9	2	1	7837	18	0	9.23793	 	1	1
DL	58	5	80	79	2	1	49193	24	1	9.23793	 	0	0
UL	58	6	8	1	1	1	1640	26	0	20.8968 	0	1.79204e-08
DL	58	6	9	48	2	1	51117	20	0	10.3705	 	1	1
DL	58	6	80	79	2	1	49193	24	1	10.3705	 	0	0
DL	58	7	7	8	2	1	11613	24	0	10.3705	 	1	1
UL	58	8	14	1	1	1	1718	27	0	20.4854 	0	0.534733
DL	58	8	15	5	2	1	7257	24	0	10.3432	 	1	1
UL	58	9	8	1	1	1	1718	27	0	20.0832 	1	0.915298
DL	58	9	10	9	2	1	7837	18	1	10.3432	 	0	0
DL	58	9	19	70	2	1	43371	14	0	17.6078	 	0	0
